Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
BMP,2010,8,12,19,21,0,112,6,8,24,83,557,17,0,155,117,1139
,2011,18,8,15,12,0,147,9,12,40,88,564,11,0,196,80,1200
,2012,8,9,20,7,0,135,5,11,40,75,600,16,0,459,49,1434
,2013,11,11,17,8,1,110,8,25,27,46,487,16,4,607,9,1387
,2014,7,16,15,3,0,94,3,9,35,48,375,16,1,759,5,1386
,2015,2,11,15,5,0,110,4,8,33,50,371,17,0,557,2,1185
,2016,6,7,16,8,0,105,2,4,41,45,444,15,0,655,1,1349
,2017,1,8,16,4,0,89,7,4,32,46,388,11,1,921,4,1532
,2018,3,8,17,6,0,101,6,6,44,42,441,16,1,1088,0,1779
