Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
Barisal Range,2010,38,37,207,112,3,991,65,13,214,374,6561,33,5,334,33,9020
,2011,33,43,194,473,8,1060,60,20,214,331,6611,41,6,350,19,9463
,2012,34,61,170,232,1,1168,55,13,186,277,6879,44,11,444,56,9631
,2013,40,31,209,115,1,1185,62,44,154,244,6920,27,15,502,28,9577
,2014,36,37,200,51,0,1478,60,8,163,225,6892,36,19,813,31,10049
,2015,31,47,175,58,1,1497,53,20,156,266,6767,26,22,1019,27,10165
,2016,29,36,166,52,1,1538,38,22,155,187,6130,58,12,1679,12,10115
,2017,22,36,169,62,0,1451,20,16,161,182,5763,59,8,3441,5,11395
,2018,20,24,166,55,0,1321,20,20,132,205,4975,54,56,4384,2,11434
