Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
CMP,2010,16,108,94,31,7,455,37,31,123,314,1831,51,0,866,99,4063
,2011,16,66,83,43,15,408,30,19,125,355,1304,89,4,1541,28,4126
,2012,10,66,88,74,18,281,27,26,112,283,1492,121,5,1976,41,4620
,2013,4,55,95,57,24,244,18,68,74,239,1281,79,37,1977,36,4288
,2014,5,63,120,52,17,387,53,31,97,310,1457,121,10,2488,56,5267
,2015,5,61,105,67,25,357,51,30,128,262,1497,101,40,2090,43,4862
,2016,6,58,90,63,11,344,30,16,88,196,1634,160,6,3457,31,6190
,2017,2,71,70,80,0,350,7,21,92,267,1547,231,2,4260,44,7044
,2018,6,65,75,100,0,405,11,34,74,208,1446,365,136,4747,59,7731
