Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
Chittagong Range,2010,153,122,639,245,32,2915,111,87,429,998,12985,235,20,4730,612,24313
,2011,164,116,640,241,10,4397,105,116,458,1130,13846,192,20,4122,555,26112
,2012,129,103,664,267,17,4221,120,122,430,1134,15873,232,13,4613,531,28469
,2013,143,132,758,262,56,3532,130,336,425,960,15863,320,91,4801,354,28163
,2014,138,169,792,193,9,4240,159,228,435,939,15503,490,53,6817,285,30450
,2015,107,133,688,151,28,3886,98,163,406,906,13618,498,59,8012,224,28977
,2016,71,105,662,138,10,2612,106,99,367,821,12461,561,35,8998,161,27207
,2017,64,74,626,114,0,1889,77,112,360,786,11676,581,16,12555,190,29120
,2018,44,84,728,110,1,1915,93,151,325,701,11445,723,122,13338,145,29925
