Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
Dhaka Range,2010,162,199,1153,362,7,4272,171,71,643,1477,19966,309,30,4459,993,34274
,2011,160,174,1199,361,17,4838,144,117,607,1731,19993,260,25,7497,1076,38199
,2012,154,150,1244,426,7,5115,156,135,634,1742,21957,315,28,10918,1039,44020
,2013,147,175,1303,451,14,4766,149,182,686,1555,22429,296,133,11139,627,44052
,2014,184,221,1395,456,1,4907,203,127,619,1582,21716,331,64,12175,555,44536
,2015,151,164,1239,563,0,5042,204,118,472,1565,20501,365,68,12405,520,43377
,2016,118,127,881,162,1,3703,139,99,347,1114,13859,356,110,11366,234,32616
,2017,99,132,828,131,0,3598,123,95,360,973,12787,290,43,19646,197,39302
,2018,71,96,854,105,0,3014,82,122,304,931,11830,292,65,22682,155,40603
