Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
KMP,2010,3,9,29,25,0,153,11,4,65,91,551,19,2,792,13,1767
,2011,3,13,23,17,0,171,12,10,57,92,478,14,3,495,9,1397
,2012,1,18,23,14,0,199,16,9,44,76,493,17,7,437,19,1373
,2013,2,30,31,23,0,153,12,20,39,78,494,23,14,442,9,1370
,2014,2,29,22,17,0,206,11,3,44,101,522,34,2,599,10,1602
,2015,9,15,30,19,0,146,7,3,49,95,574,21,13,659,2,1642
,2016,6,11,36,19,0,158,10,4,45,78,514,17,7,801,4,1710
,2017,6,9,25,19,0,248,4,6,35,50,443,25,4,1706,32,2612
,2018,2,6,19,18,0,145,3,3,32,63,385,24,1,1858,45,2604
