Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
Khulna Range,2010,74,125,513,110,15,2275,156,25,332,947,9954,211,96,2292,1238,18363
,2011,58,124,414,105,5,2796,119,32,395,902,10452,152,60,2168,1047,18829
,2012,64,151,482,153,12,2564,167,46,359,761,11275,260,110,3372,1207,20983
,2013,76,126,520,181,1,2309,153,99,356,720,10968,253,148,2286,1873,20069
,2014,80,125,520,277,15,2351,77,53,310,585,10247,381,152,2935,1766,19874
,2015,41,112,439,151,2,2478,79,41,250,513,8972,330,119,3787,1217,18531
,2016,47,80,370,88,7,1892,65,54,220,446,9315,374,109,4879,649,18595
,2017,33,51,338,62,9,1960,45,26,152,420,8917,342,89,9764,813,23021
,2018,26,54,392,27,3,1530,29,14,190,403,7402,369,207,10076,531,21253
