Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
Mymensingh Range,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2016,4,15,221,97,0,825,16,29,57,256,4893,36,8,3099,118,9674
,2017,8,16,248,107,0,1071,26,18,74,355,5897,36,4,5398,178,13436
,2018,5,10,265,54,1,1056,20,23,66,301,5294,53,139,6329,100,13716
