Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
RMP,2010,4,20,21,9,15,157,9,12,53,106,578,3,4,332,248,1571
,2011,2,14,18,3,3,146,16,11,55,101,665,8,1,253,199,1495
,2012,2,24,37,9,6,122,11,15,52,136,728,5,3,229,130,1509
,2013,3,23,29,19,15,152,23,58,54,166,791,22,15,144,108,1622
,2014,0,28,22,20,6,169,21,14,65,106,569,18,27,395,126,1586
,2015,0,19,20,12,4,131,8,18,39,66,463,23,30,733,179,1745
,2016,5,18,15,5,5,108,11,14,40,66,357,13,12,1114,173,1956
,2017,2,34,8,15,2,120,17,14,33,50,485,18,9,2021,189,3017
,2018,0,27,22,14,3,177,17,12,45,64,597,35,19,2847,368,4247
