Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
RPMP,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2018,1,1,3,2,0,19,8,2,3,17,90,2,1,203,0,352
