Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
Railway Range,2010,0,1,33,3,1,5,5,1,2,104,142,1,0,176,165,639
,2011,3,5,21,5,0,8,2,1,1,95,172,3,0,264,115,695
,2012,3,11,31,2,0,1,5,1,0,117,199,5,0,331,134,840
,2013,3,8,38,3,0,4,2,1,2,98,266,3,2,264,81,775
,2014,1,8,33,3,0,6,0,0,1,89,170,10,3,395,110,829
,2015,2,10,24,2,0,5,8,1,1,71,141,4,9,496,118,892
,2016,1,10,20,1,0,160,4,3,2,49,131,5,0,518,111,1015
,2017,0,7,19,2,0,3,0,3,0,60,100,3,1,588,136,922
,2018,0,4,27,3,0,4,1,5,0,65,108,2,0,611,159,989
