Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
Rajshahi Range,2010,54,130,757,276,29,4095,105,35,442,1442,20654,134,10,3614,2509,34286
,2011,81,146,780,179,22,4735,121,58,385,1388,21174,114,11,2763,2276,34233
,2012,38,55,464,132,0,2281,54,47,155,554,11932,131,12,3120,2124,21099
,2013,47,63,480,168,0,2161,63,99,134,513,10810,163,100,2716,1896,19413
,2014,55,73,463,138,0,2359,81,26,137,500,10353,249,64,3969,2070,20537
,2015,37,66,446,159,0,2339,70,40,72,441,9259,313,144,5797,2072,21255
,2016,30,49,383,115,0,1974,60,17,75,477,8304,345,82,9703,1555,23169
,2017,36,38,368,132,0,1763,43,28,79,470,7817,343,62,12237,1240,24656
,2018,21,53,408,126,0,1786,46,27,95,392,6979,257,116,13764,1538,25608
