Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
Rangpur Range,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2012,20,53,354,85,2,2235,53,41,129,607,9586,32,2,1083,959,15241
,2013,18,62,345,163,0,2389,54,50,142,533,10032,27,27,1213,1120,16175
,2014,21,62,349,88,0,2573,45,32,126,549,10181,62,11,1756,1332,17187
,2015,17,50,328,44,0,2587,34,23,146,460,9898,53,10,1988,1355,16993
,2016,22,29,292,32,0,2025,27,29,133,453,8523,45,10,4425,1278,17323
,2017,7,29,281,25,0,1771,30,16,103,477,8203,50,8,10262,2218,23480
,2018,13,13,307,19,0,1908,16,18,91,372,7474,72,57,10921,997,22278
