Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
SMP,2010,12,33,33,34,1,104,14,12,33,154,866,14,0,154,20,1484
,2011,9,24,37,42,1,158,16,16,31,129,857,8,0,178,32,1538
,2012,8,15,37,52,3,140,6,28,42,116,784,11,1,186,4,1433
,2013,19,29,32,33,2,131,3,30,26,136,739,19,31,194,4,1428
,2014,21,29,44,32,13,165,4,26,34,142,728,12,4,311,18,1583
,2015,19,14,37,22,4,139,10,8,25,89,819,11,5,183,8,1393
,2016,20,26,38,15,5,235,10,13,27,96,724,17,0,164,8,1398
,2017,5,18,32,60,3,120,6,12,25,101,669,13,0,301,15,1380
,2018,8,12,33,44,0,159,1,39,32,85,731,16,2,520,34,1716
