Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
Sylhet Range,2010,85,43,245,75,17,848,41,19,186,524,5266,30,4,905,172,8460
,2011,60,42,283,58,19,987,40,27,177,481,5473,19,0,1464,190,9320
,2012,56,26,236,66,17,848,26,29,152,480,6018,38,3,1751,186,9932
,2013,53,35,266,75,21,834,37,42,109,398,5773,27,3,1620,186,9479
,2014,54,30,277,54,11,745,27,41,93,354,5468,38,6,2026,202,9426
,2015,26,26,252,70,3,943,33,43,76,326,5442,54,11,1575,211,9091
,2016,20,20,236,40,12,1116,18,46,69,310,5051,45,8,1723,237,8951
,2017,31,31,303,30,2,861,19,40,103,399,4638,49,7,2246,223,8982
,2018,25,18,272,19,1,885,13,94,84,390,4648,62,19,2438,194,9162
